candidate_id,fold,days,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,payoff_ratio,profit_factor,exposure,max_abs_net_exposure,turnover
sig-continuation-l40-q05-c2__risk-k1-r16-x30-s1-a3-t3,1,54,109,-0.04857599863099338,-0.20735422752085253,0.0380717564480457,-6.082211202779091,0.05514069074220629,0.25688073394495414,1.528592513134819,0.5284023502194436,0.21901840490797544,0.3,65.4394381752449
sig-continuation-l40-q05-c2__risk-k1-r32-x20-s0.75-a2-t2.5,1,54,59,-0.018441971461243933,-0.08320006934132318,0.02033240931121916,-4.261576799404207,0.019655214620364903,0.22033898305084745,1.668790466303929,0.47161469699893643,0.06345311130587204,0.2,23.606113372757243
sig-continuation-l40-q05-c2__risk-k1-r32-x20-s0.75-a3-t3,1,54,59,-0.01920082360825881,-0.08650305715987627,0.02101025398706688,-4.295154899470389,0.020413128797184044,0.22033898305084745,1.61420670000785,0.4561888500022184,0.07134092900964066,0.2,23.604362654259987
sig-continuation-l40-q05-c2__risk-k1-r32-x20-s1-a2-t2.5,1,54,58,-0.02209651690171177,-0.09902107169909347,0.02091253122967989,-4.974867825740018,0.024145833149669227,0.2413793103448276,1.4341258252001747,0.45631276256369196,0.07817703768624014,0.2,23.209700910647648
sig-continuation-l40-q05-c2__risk-k1-r32-x20-s1-a3-t3,1,54,58,-0.022042430024278192,-0.09878849758861707,0.02045767344903303,-5.073323309971242,0.02372362567078512,0.25862068965517243,1.2947172507294087,0.45164555258002625,0.08641542506573181,0.2,23.20893899728919
sig-continuation-l40-q05-c2__risk-k1-r32-x30-s0.75-a2-t2.5,1,54,59,-0.027662957191865956,-0.12270589227230222,0.030582889546761492,-4.264471304434353,0.029464612238305654,0.22033898305084745,1.6687904663039301,0.47161469699893677,0.09517966695880806,0.3,35.40917005913586
sig-continuation-l40-q05-c2__risk-k1-r32-x30-s0.75-a3-t3,1,54,59,-0.028801235412388326,-0.12748835362772826,0.03161000510728832,-4.297744894828499,0.03060078132936994,0.22033898305084745,1.6142067000078497,0.4561888500022184,0.107011393514461,0.3,35.40654398138998
sig-continuation-l40-q05-c2__risk-k1-r32-x30-s1-a2-t2.5,1,54,58,-0.03314477535256766,-0.14554979332976414,0.03146608710394866,-4.98192206885855,0.03619637967161615,0.2413793103448276,1.434125825200175,0.45631276256369196,0.11726555652936022,0.3,34.81455136597147
sig-continuation-l40-q05-c2__risk-k1-r32-x30-s1-a3-t3,1,54,58,-0.033063645036417344,-0.14521515007864494,0.030793017271850288,-5.078783880701988,0.03556345960995777,0.25862068965517243,1.2947172507294087,0.45164555258002625,0.1296231375985977,0.3,34.813408495933786
sig-continuation-l40-q05-c2__risk-k2-r16-x20-s0.75-a2-t2.5,1,54,220,-0.02634941407499325,-0.11716148581519759,0.016579960704901777,-7.505884952167126,0.027072692265527554,0.2318181818181818,1.7557604909056115,0.5298448818709242,0.11554716981021163,0.2,44.166455540998896
sig-continuation-l40-q05-c2__risk-k2-r16-x20-s0.75-a3-t3,1,54,220,-0.02771243178341798,-0.12291418632353834,0.01671184139506133,-7.83751284181643,0.0284346974536539,0.2318181818181818,1.6751691776758366,0.505524426399217,0.11571342852965873,0.2,44.165091841440685
sig-continuation-l40-q05-c2__risk-k2-r16-x20-s1-a2-t2.5,1,54,217,-0.026548079903227162,-0.1180018076224294,0.016069339171465795,-7.80413402979935,0.027194218192828523,0.2672811059907834,1.5486887827705085,0.5649304993754056,0.14050796156781903,0.2,43.44700049318206
sig-continuation-l40-q05-c2__risk-k2-r16-x20-s1-a3-t3,1,54,217,-0.02791109761165189,-0.12375020237985768,0.016371567356283746,-8.058967086115286,0.02855654715876743,0.2672811059907834,1.487454286125928,0.5425933873918479,0.14067422028726614,0.2,43.44563679362386
sig-continuation-l40-q05-c2__risk-k2-r16-x30-s0.75-a2-t2.5,1,54,220,-0.03952412111248982,-0.17154264345594106,0.025040469740482543,-7.500337756154786,0.040593960747796975,0.2318181818181818,1.7557604909056117,0.5298448818709243,0.1733207547153174,0.3,66.24968331149833
sig-continuation-l40-q05-c2__risk-k2-r16-x30-s0.75-a3-t3,1,54,220,-0.04156864767512691,-0.1797402728844456,0.025252704074340215,-7.830585634580826,0.04263620998562023,0.2318181818181818,1.6751691776758373,0.5055244263992172,0.17357014279448804,0.3,66.24763776216102
sig-continuation-l40-q05-c2__risk-k2-r16-x30-s1-a2-t2.5,1,54,217,-0.03982211985484074,-0.1727414742055584,0.02429630462589691,-7.790362061272082,0.040781023819396856,0.2672811059907834,1.548688782770508,0.5649304993754055,0.21076194235172857,0.3,65.17050073977309
sig-continuation-l40-q05-c2__risk-k2-r16-x30-s1-a3-t3,1,54,217,-0.04186664641747784,-0.18092977173861258,0.024764191877434314,-8.04409413436408,0.04282400110287177,0.2672811059907834,1.4874542861259277,0.5425933873918478,0.2110113304308992,0.3,65.16845519043578
sig-continuation-l40-q05-c2__risk-k2-r32-x20-s0.75-a2-t2.5,1,54,114,-0.018099041773818936,-0.08170435510644969,0.013953650078183905,-6.100617296491401,0.01946349779348,0.21052631578947367,1.7463106026155024,0.46568282736413397,0.07083482323115549,0.2,23.942849979803462
sig-continuation-l40-q05-c2__risk-k2-r32-x20-s0.75-a3-t3,1,54,114,-0.019318251686425536,-0.08701333935171296,0.014573147589080179,-6.238410830269857,0.020681013483985544,0.21052631578947367,1.6241404654852873,0.43310412412940996,0.07459717438081802,0.2,23.94123165102466
sig-continuation-l40-q05-c2__risk-k2-r32-x20-s1-a2-t2.5,1,54,112,-0.023403150338717205,-0.1046252932101952,0.015354038912208193,-7.188529529010621,0.024804283171359298,0.23214285714285715,1.385077273870849,0.4187442921004893,0.07559319363727926,0.2,23.544973625371036
sig-continuation-l40-q05-c2__risk-k2-r32-x20-s1-a3-t3,1,54,112,-0.024231671111307085,-0.10816464872021903,0.01568543799700471,-7.288728551947503,0.025509320166038907,0.24107142857142858,1.2437510942465213,0.39507387699595375,0.07953198842888695,0.2,23.543870283275496
sig-continuation-l40-q05-c2__risk-k2-r32-x30-s0.75-a2-t2.5,1,54,114,-0.027148562660728404,-0.12053792503373639,0.021007666501692276,-6.102314017261935,0.029174975821223748,0.21052631578947367,1.7463106026155022,0.465682827364134,0.10625223484673323,0.3,35.91427496970519
sig-continuation-l40-q05-c2__risk-k2-r32-x30-s0.75-a3-t3,1,54,114,-0.02897737752963825,-0.12822657854426278,0.021944447320820563,-6.24084201096466,0.0309999813371572,0.21052631578947367,1.6241404654852876,0.43310412412941,0.11189576157122702,0.3,35.911847476536984
sig-continuation-l40-q05-c2__risk-k2-r32-x30-s1-a2-t2.5,1,54,112,-0.03510472550807586,-0.15360289175272868,0.02314213921493951,-7.1924336634082175,0.037182082066976485,0.23214285714285715,1.3850772738708492,0.41874429210048936,0.11338979045591886,0.3,35.31746043805654
sig-continuation-l40-q05-c2__risk-k2-r32-x30-s1-a3-t3,1,54,112,-0.036347506666960516,-0.1586782871990784,0.023645238658336856,-7.29310374116993,0.03823894564232466,0.24107142857142858,1.2437510942465213,0.3950738769959538,0.11929798264333043,0.3,35.31580542491324
