time,symbol,side,lots,price,pnl,cost
2026-06-02 11:15:00,SI_IDX,OPEN_SHORT,4.0,8705.0,,
2026-06-02 11:15:00,ZN_IDX,OPEN_SHORT,1.0,24695.0,,
2026-06-02 11:15:00,AL_IDX,OPEN_SHORT,1.0,24355.0,,
2026-06-02 13:10:00,JM_IDX,STOP_LOSS_LONG,,,-5520.0,84.453
2026-06-03 01:00:00,ZN_IDX,STOP_LOSS_SHORT,,,-2550.0,28.78075
2026-06-03 01:00:00,AL_IDX,STOP_LOSS_SHORT,,,-1900.0,28.710250000000002
2026-06-03 14:25:00,HC_IDX,CLOSE_LONG,,,-400.0,66.975
2026-06-03 14:25:00,CF_IDX,CLOSE_LONG,,,500.0,59.837
2026-06-03 14:25:00,SR_IDX,CLOSE_LONG,,,-60.0,38.2035
2026-06-03 14:25:00,SI_IDX,CLOSE_SHORT,,,174100.0,100.0
2026-06-03 14:25:00,AL_IDX,OPEN_LONG,1.0,24835.0,,
2026-06-03 14:25:00,C_IDX,OPEN_LONG,8.0,2304.0,,
2026-06-03 14:25:00,FG_IDX,OPEN_LONG,9.0,1049.0,,
2026-06-03 14:25:00,SR_IDX,OPEN_SHORT,3.0,5469.0,,
2026-06-03 14:25:00,RB_IDX,OPEN_SHORT,6.0,3175.0,,
2026-06-03 14:25:00,MA_IDX,OPEN_SHORT,6.0,2922.0,,
2026-06-04 01:00:00,AL_IDX,STOP_LOSS_LONG,,,-2275.0,28.657
2026-06-05 10:00:00,C_IDX,CLOSE_LONG,,,-320.0,87.36
2026-06-05 10:00:00,FG_IDX,CLOSE_LONG,,,-1440.0,198.738
2026-06-05 10:00:00,SR_IDX,CLOSE_SHORT,,,1260.0,38.1405
2026-06-05 10:00:00,RB_IDX,CLOSE_SHORT,,,190500.0,60.0
2026-06-05 10:00:00,MA_IDX,CLOSE_SHORT,,,175320.0,60.0
2026-06-05 10:00:00,ZN_IDX,OPEN_LONG,1.0,24945.0,,
2026-06-05 10:00:00,RU_IDX,OPEN_LONG,1.0,18010.0,,
2026-06-05 10:00:00,SI_IDX,OPEN_LONG,5.0,8610.0,,
2026-06-05 10:00:00,P_IDX,OPEN_SHORT,2.0,9758.0,,
2026-06-05 10:00:00,HC_IDX,OPEN_SHORT,6.0,3385.0,,
2026-06-05 10:00:00,Y_IDX,OPEN_SHORT,2.0,8529.0,,
2026-06-05 13:40:00,RU_IDX,CLOSE_LONG,,,650.0,64.46000000000001
2026-06-05 13:40:00,SI_IDX,CLOSE_LONG,,,-215250.0,125.0
2026-06-05 13:40:00,P_IDX,CLOSE_SHORT,,,1680.0,49.674
2026-06-05 13:40:00,HC_IDX,CLOSE_SHORT,,,60.0,80.304
2026-06-05 13:40:00,Y_IDX,CLOSE_SHORT,,,600.0,48.499
2026-06-05 13:40:00,SR_IDX,OPEN_LONG,3.0,5413.0,,
2026-06-05 13:40:00,AL_IDX,OPEN_SHORT,1.0,24440.0,,
2026-06-05 13:40:00,J_IDX,OPEN_SHORT,1.0,2038.0,,
2026-06-05 13:40:00,CF_IDX,OPEN_SHORT,2.0,16340.0,,
2026-06-05 13:40:00,I_IDX,OPEN_SHORT,2.0,764.0,,
2026-06-05 21:40:00,J_IDX,STOP_LOSS_SHORT,,,-2100.0,80.88499999999999
2026-06-06 09:15:00,SR_IDX,STOP_LOSS_LONG,,,-1650.0,38.037
2026-06-09 01:00:00,ZN_IDX,STOP_LOSS_LONG,,,-1300.0,28.70275
2026-06-10 06:40:00,I_IDX,STOP_LOSS_SHORT,,,-2400.0,115.52
2026-06-10 09:45:00,AL_IDX,CLOSE_SHORT,,,1625.0,28.61725
2026-06-10 09:45:00,Y_IDX,OPEN_LONG,2.0,8312.0,,
2026-06-10 09:45:00,HC_IDX,OPEN_LONG,6.0,3357.0,,
2026-06-10 09:45:00,SI_IDX,OPEN_LONG,4.0,8620.0,,
2026-06-10 09:45:00,SR_IDX,OPEN_SHORT,3.0,5362.0,,
2026-06-10 09:45:00,RU_IDX,OPEN_SHORT,1.0,17665.0,,
2026-06-10 09:45:00,FG_IDX,OPEN_SHORT,10.0,1003.0,,
2026-06-11 11:30:00,Y_IDX,CLOSE_LONG,,,-100.0,48.307
2026-06-11 11:30:00,HC_IDX,CLOSE_LONG,,,0.0,80.142
2026-06-11 11:30:00,SI_IDX,CLOSE_LONG,,,2300.0,110.482
2026-06-11 11:30:00,CF_IDX,CLOSE_SHORT,,,5500.0,59.474000000000004
2026-06-11 11:30:00,RU_IDX,CLOSE_SHORT,,,2450.0,63.936
2026-06-11 11:30:00,FG_IDX,CLOSE_SHORT,,,600.0,220.0
2026-06-11 11:30:00,AL_IDX,OPEN_LONG,1.0,23915.0,,
2026-06-11 11:30:00,RU_IDX,OPEN_LONG,1.0,17420.0,,
2026-06-11 11:30:00,ZN_IDX,OPEN_LONG,1.0,24705.0,,
2026-06-11 11:30:00,C_IDX,OPEN_LONG,9.0,2333.0,,
2026-06-11 11:30:00,HC_IDX,OPEN_SHORT,6.0,3357.0,,
2026-06-11 11:30:00,JM_IDX,OPEN_SHORT,2.0,1371.5,,
2026-06-11 21:15:00,JM_IDX,STOP_LOSS_SHORT,,,-4080.0,85.299
2026-06-11 23:00:00,ZN_IDX,STOP_LOSS_LONG,,,-1575.0,28.6585
2026-06-12 14:40:00,AL_IDX,CLOSE_LONG,,,750.0,28.60975
2026-06-12 14:40:00,RU_IDX,CLOSE_LONG,,,1500.0,64.056
2026-06-12 14:40:00,C_IDX,CLOSE_LONG,,,1260.0,98.4492
2026-06-12 14:40:00,SR_IDX,CLOSE_SHORT,,,1140.0,37.986000000000004
2026-06-12 14:40:00,HC_IDX,CLOSE_SHORT,,,-240.0,80.166
2026-06-12 14:40:00,SR_IDX,OPEN_LONG,3.0,5324.0,,
2026-06-12 14:40:00,HC_IDX,OPEN_LONG,6.0,3361.0,,
2026-06-12 14:40:00,TA_IDX,OPEN_LONG,6.0,6298.0,,
2026-06-12 14:40:00,LC_IDX,OPEN_SHORT,1.0,177620.0,,
2026-06-12 14:40:00,CF_IDX,OPEN_SHORT,2.0,15800.0,,
2026-06-12 14:40:00,I_IDX,OPEN_SHORT,2.0,766.0,,
2026-06-12 14:40:00,FG_IDX,OPEN_SHORT,10.0,1000.0,,
2026-06-13 09:25:00,TA_IDX,STOP_LOSS_LONG,,,-2160.0,71.2068
2026-06-15 21:15:00,FG_IDX,STOP_LOSS_SHORT,,,-2200.0,220.22
2026-06-16 13:55:00,SR_IDX,CLOSE_LONG,,,930.0,38.0325
2026-06-16 13:55:00,HC_IDX,CLOSE_LONG,,,2040.0,80.37
2026-06-16 13:55:00,LC_IDX,CLOSE_SHORT,,,7380.0,63.6192
2026-06-16 13:55:00,I_IDX,CLOSE_SHORT,,,600.0,115.26
2026-06-16 13:55:00,ZN_IDX,OPEN_LONG,1.0,24850.0,,
2026-06-16 13:55:00,P_IDX,OPEN_LONG,2.0,9291.0,,
2026-06-16 13:55:00,M_IDX,OPEN_LONG,7.0,2964.0,,
2026-06-16 13:55:00,C_IDX,OPEN_LONG,9.0,2330.0,,
2026-06-16 13:55:00,TA_IDX,OPEN_SHORT,7.0,5796.0,,
